# Time-averaged data for fix myat2
# TimeStep v_longforce
5100 -22.3887
5200 -11.6231
5300 -9.80771
5400 -20.577
5500 -21.0372
5600 -14.0951
5700 -6.62062
5800 -27.343
5900 -14.1795
6000 -16.2367
6100 -18.06
6200 -21.8568
6300 -16.6235
6400 -24.8024
6500 -21.244
6600 -24.3358
6700 -16.2962
6800 -23.4333
6900 -25.1527
7000 -22.9517
7100 -21.0984
7200 -24.0711
7300 -23.8543
7400 -34.3726
7500 -25.8967
7600 -26.6197
7700 -19.1541
7800 -37.1482
7900 -27.1563
8000 -25.4584
8100 -25.6585
8200 -35.2909
8300 -30.329
8400 -34.6139
8500 -28.2189
8600 -35.9947
8700 -30.7006
8800 -33.8341
8900 -27.0251
9000 -36.9215
9100 -38.9678
9200 -33.3715
9300 -28.8581
9400 -40.7767
9500 -44.0813
9600 -39.9484
9700 -27.7408
9800 -35.5269
9900 -42.7681
10000 -43.262
10100 -42.9986
10200 -32.9028
10300 -37.0013
10400 -46.5027
10500 -51.7537
10600 -39.069
10700 -31.9913
10800 -39.4986
10900 -55.3519
11000 -42.5495
11100 -43.8404
11200 -36.8886
11300 -47.1267
11400 -54.8885
11500 -50.4638
11600 -38.3732
11700 -45.9516
11800 -48.5292
11900 -54.8901
12000 -43.3061
12100 -52.5712
12200 -46.436
12300 -48.1028
12400 -53.2405
12500 -57.1522
12600 -50.0236
12700 -47.4977
12800 -51.6726
12900 -56.7176
13000 -54.615
13100 -58.0308
13200 -50.2477
13300 -47.3979
13400 -58.7523
13500 -68.5569
13600 -51.4017
13700 -50.1639
13800 -54.4698
13900 -61.527
14000 -59.9299
14100 -61.5381
14200 -49.8838
14300 -55.0603
14400 -65.0404
14500 -72.5939
14600 -55.3546
14700 -56.6184
14800 -51.7913
14900 -68.5836
15000 -69.2088
15100 -62.9925
15200 -52.7145
15300 -56.8981
15400 -69.7949
15500 -79.1746
15600 -62.6507
15700 -56.7362
15800 -56.6164
15900 -66.0438
16000 -81.3741
16100 -70.8374
16200 -55.0694
16300 -56.9444
16400 -68.9261
16500 -85.1868
16600 -71.0679
16700 -61.0075
16800 -57.6276
16900 -65.7338
17000 -84.0855
17100 -80.2177
17200 -62.9838
17300 -55.2561
17400 -67.4035
17500 -87.6478
17600 -83.2073
17700 -68.4208
17800 -55.6099
17900 -66.6986
18000 -84.4946
18100 -90.9373
18200 -73.3744
18300 -55.9463
18400 -63.5315
18500 -80.6501
18600 -90.0006
18700 -86.1807
18800 -65.1891
18900 -58.9533
19000 -74.9867
19100 -95.546
19200 -89.1736
19300 -68.1941
19400 -62.0144
19500 -75.3571
19600 -87.0961
19700 -91.2681
19800 -78.9732
19900 -68.7405
20000 -71.8461
20100 -87.0525
20200 -86.6193
20300 -81.3902
20400 -71.9375
20500 -80.1083
20600 -80.7448
20700 -84.1018
20800 -86.9996
20900 -80.0094
21000 -77.2881
21100 -89.1268
21200 -80.3662
21300 -89.7268
21400 -82.3723
21500 -79.1692
21600 -84.6958
21700 -88.006
21800 -86.8906
21900 -84.9244
22000 -81.3744
22100 -88.8628
22200 -82.9851
22300 -89.4941
22400 -82.1762
22500 -86.1901
22600 -93.047
22700 -84.571
22800 -90.0055
22900 -82.4112
23000 -85.5073
23100 -100.588
23200 -86.2834
23300 -87.601
23400 -81.8077
23500 -89.8849
23600 -99.5404
23700 -90.9777
23800 -88.9118
23900 -84.5127
24000 -84.9542
24100 -103.263
24200 -93.409
24300 -88.039
24400 -88.1523
24500 -84.9273
24600 -101.944
24700 -96.9931
24800 -94.8897
24900 -90.442
25000 -83.7734
25100 -98.511
25200 -99.4247
25300 -94.4619
25400 -93.9285
25500 -90.8482
25600 -98.0464
25700 -100.004
25800 -97.4376
25900 -96.7019
26000 -90.0428
26100 -102.409
26200 -96.5885
26300 -101.294
26400 -95.6921
26500 -94.2174
26600 -101.712
26700 -100.826
26800 -101.265
26900 -98.1739
27000 -94.5384
27100 -103.972
