# darshan log version: 3.10
# compression method: ZLIB
# exe: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/build/bin/warpx.3d.MPI.CUDA.DP.OPMD /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/Examples/Physics_applications/laser_acceleration/inputs_3d
# uid: 16326
# jobid: 446247
# start_time: 1603904022
# start_time_asci: Wed Oct 28 12:53:42 2020
# end_time: 1603904038
# end_time_asci: Wed Oct 28 12:53:58 2020
# nprocs: 12
# run time: 17
# metadata: lib_ver = 3.1.7
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 318 bytes (compressed)
# record table: 2260 bytes (compressed)
# POSIX module: 6261 bytes (compressed), ver=4
# STDIO module: 3607 bytes (compressed), ver=2
# DXT_POSIX module: 5105 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/autofs/nccs-svm1_home1	nfs
# mount entry:	/autofs/nccs-svm1_home	nfs
# mount entry:	/autofs/nccs-svm1_sw	nfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/cache/fscache	xfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/gpfs/alpine	gpfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/autofs	autofs
# mount entry:	/dev	devtmpfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 16031246499352468645, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/Examples/Physics_applications/laser_acceleration/inputs_3d
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 0, read_count: 1
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read        0               0            2913      0.0200      0.0200

# DXT, file_id: 6893660511934806131, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/Level_0/Cell_D_00000
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 5, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0              91      3.5187      3.5191
 X_POSIX       0  write        1              91        10485760      3.5191      3.5214
 X_POSIX       0  write        2        10485851              92      3.5214      3.5215
 X_POSIX       0  write        3        10485943        10485760      3.5215      3.5798
 X_POSIX       0  write        4        20971703              23      3.6670      3.6670

# DXT, file_id: 3896614142588437040, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/Level_0/Cell_H
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 1, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0            8376      3.6206      3.6207

# DXT, file_id: 10179846906169733831, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/electrons/Level_0/Particle_H
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 1, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0             512      3.6249      3.6250

# DXT, file_id: 2049912291782219959, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/electrons/Header
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 1, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0             195      3.6635      3.6636

# DXT, file_id: 9971174684172009690, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/warpx_job_info
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 53, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0            1529      3.6669      3.6670
 X_POSIX       0  write        1            1529              23      3.6670      3.6670
 X_POSIX       0  write        2            1552              25      3.6670      3.6670
 X_POSIX       0  write        3            1577              23      3.6671      3.6671
 X_POSIX       0  write        4            1600              29      3.6671      3.6671
 X_POSIX       0  write        5            1629              43      3.6671      3.6671
 X_POSIX       0  write        6            1672              40      3.6671      3.6671
 X_POSIX       0  write        7            1712              18      3.6671      3.6671
 X_POSIX       0  write        8            1730              22      3.6671      3.6671
 X_POSIX       0  write        9            1752              22      3.6671      3.6671
 X_POSIX       0  write       10            1774              22      3.6671      3.6671
 X_POSIX       0  write       11            1796              18      3.6671      3.6672
 X_POSIX       0  write       12            1814              27      3.6672      3.6672
 X_POSIX       0  write       13            1841              21      3.6672      3.6672
 X_POSIX       0  write       14            1862              15      3.6672      3.6672
 X_POSIX       0  write       15            1877              17      3.6672      3.6672
 X_POSIX       0  write       16            1894              27      3.6672      3.6672
 X_POSIX       0  write       17            1921              28      3.6672      3.6672
 X_POSIX       0  write       18            1949              28      3.6672      3.6672
 X_POSIX       0  write       19            1977              36      3.6672      3.6672
 X_POSIX       0  write       20            2013              24      3.6672      3.6672
 X_POSIX       0  write       21            2037              21      3.6673      3.6673
 X_POSIX       0  write       22            2058              44      3.6673      3.6673
 X_POSIX       0  write       23            2102              50      3.6673      3.6673
 X_POSIX       0  write       24            2152              25      3.6673      3.6673
 X_POSIX       0  write       25            2177              24      3.6673      3.6673
 X_POSIX       0  write       26            2201              25      3.6673      3.6673
 X_POSIX       0  write       27            2226              24      3.6673      3.6673
 X_POSIX       0  write       28            2250              24      3.6673      3.6673
 X_POSIX       0  write       29            2274              29      3.6673      3.6673
 X_POSIX       0  write       30            2303              26      3.6674      3.6674
 X_POSIX       0  write       31            2329              48      3.6674      3.6674
 X_POSIX       0  write       32            2377              38      3.6674      3.6674
 X_POSIX       0  write       33            2415              22      3.6674      3.6674
 X_POSIX       0  write       34            2437              26      3.6674      3.6674
 X_POSIX       0  write       35            2463              30      3.6674      3.6674
 X_POSIX       0  write       36            2493              28      3.6674      3.6674
 X_POSIX       0  write       37            2521              31      3.6674      3.6674
 X_POSIX       0  write       38            2552              22      3.6674      3.6674
 X_POSIX       0  write       39            2574              29      3.6675      3.6675
 X_POSIX       0  write       40            2603              34      3.6675      3.6675
 X_POSIX       0  write       41            2637              32      3.6675      3.6675
 X_POSIX       0  write       42            2669              40      3.6675      3.6675
 X_POSIX       0  write       43            2709              27      3.6675      3.6675
 X_POSIX       0  write       44            2736              32      3.6675      3.6675
 X_POSIX       0  write       45            2768              20      3.6675      3.6675
 X_POSIX       0  write       46            2788              23      3.6675      3.6675
 X_POSIX       0  write       47            2811              54      3.6675      3.6675
 X_POSIX       0  write       48            2865              37      3.6676      3.6676
 X_POSIX       0  write       49            2902              24      3.6676      3.6676
 X_POSIX       0  write       50            2926              25      3.6676      3.6676
 X_POSIX       0  write       51            2951              34      3.6676      3.6676
 X_POSIX       0  write       52            2985              22     15.6524     15.6524

# DXT, file_id: 2831836278733676742, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/WarpXHeader
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 1, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0             796      3.6679      3.6680

# DXT, file_id: 2904897282979918568, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag101000/Level_0/Cell_D_00000
# DXT, rank: 0, hostname: h35n04
# DXT, write_count: 4, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0              91     15.4657     15.4668
