# darshan log version: 3.10
# compression method: ZLIB
# exe: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/build/bin/warpx.3d.MPI.CUDA.DP.OPMD /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/Examples/Physics_applications/uniform_plasma/inputs_3d
# uid: 16326
# jobid: 446132
# start_time: 1603902001
# start_time_asci: Wed Oct 28 12:20:01 2020
# end_time: 1603902005
# end_time_asci: Wed Oct 28 12:20:05 2020
# nprocs: 12
# run time: 5
# metadata: lib_ver = 3.1.7
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 331 bytes (compressed)
# record table: 8231 bytes (compressed)
# POSIX module: 35118 bytes (compressed), ver=4
# STDIO module: 24874 bytes (compressed), ver=2
# DXT_POSIX module: 22425 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/autofs/nccs-svm1_home1	nfs
# mount entry:	/autofs/nccs-svm1_home	nfs
# mount entry:	/autofs/nccs-svm1_sw	nfs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/cache/fscache	xfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/gpfs/alpine	gpfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/autofs	autofs
# mount entry:	/dev	devtmpfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 6926822765569016938, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/Examples/Physics_applications/uniform_plasma/inputs_3d
# DXT, rank: 0, hostname: h34n01
# DXT, write_count: 0, read_count: 1
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read        0               0            1395      0.0246      0.0246

# DXT, file_id: 6893660511934806131, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/Level_0/Cell_D_00000
# DXT, rank: 0, hostname: h34n01
# DXT, write_count: 4, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0              90      3.5836      3.5842
 X_POSIX       0  write        1              90          294912      3.5843      3.5880
 X_POSIX       0  write        2          295002              91      3.5880      3.5880
 X_POSIX       0  write        3          295093          294912      3.5880      3.5881

# DXT, file_id: 3896614142588437040, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/Level_0/Cell_H
# DXT, rank: 0, hostname: h34n01
# DXT, write_count: 2, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0            7616      3.6210      3.6211
 X_POSIX       0  write        1            7616            1015      3.6550      3.6552

# DXT, file_id: 10179846906169733831, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/electrons/Level_0/Particle_H
# DXT, rank: 0, hostname: h34n01
# DXT, write_count: 1, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0             500      3.6249      3.6249

# DXT, file_id: 14533303799746462982, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/electrons/Level_0/DATA_00000
# DXT, rank: 0, hostname: h34n01
# DXT, write_count: 4, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0           65536      3.6272      3.6274
 X_POSIX       0  write        1           65536          458752      3.6297      3.6297
 X_POSIX       0  write        2          524288           65536      3.6306      3.6306
 X_POSIX       0  write        3          589824          458752      3.6327      3.6327

# DXT, file_id: 2049912291782219959, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/electrons/Header
# DXT, rank: 0, hostname: h34n01
# DXT, write_count: 1, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0             260      3.6369      3.6370

# DXT, file_id: 9971174684172009690, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/warpx_job_info
# DXT, rank: 0, hostname: h34n01
# DXT, write_count: 33, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0            1526      3.6408      3.6409
 X_POSIX       0  write        1            1526              22      3.6409      3.6409
 X_POSIX       0  write        2            1548              23      3.6409      3.6409
 X_POSIX       0  write        3            1571              25      3.6409      3.6409
 X_POSIX       0  write        4            1596              18      3.6409      3.6409
 X_POSIX       0  write        5            1614              23      3.6409      3.6409
 X_POSIX       0  write        6            1637              29      3.6409      3.6410
 X_POSIX       0  write        7            1666              43      3.6410      3.6410
 X_POSIX       0  write        8            1709              40      3.6410      3.6410
 X_POSIX       0  write        9            1749              24      3.6410      3.6410
 X_POSIX       0  write       10            1773              18      3.6410      3.6410
 X_POSIX       0  write       11            1791              16      3.6410      3.6410
 X_POSIX       0  write       12            1807              36      3.6410      3.6410
 X_POSIX       0  write       13            1843              34      3.6410      3.6410
 X_POSIX       0  write       14            1877              44      3.6410      3.6410
 X_POSIX       0  write       15            1921              50      3.6410      3.6411
 X_POSIX       0  write       16            1971              29      3.6411      3.6411
 X_POSIX       0  write       17            2000              26      3.6411      3.6411
 X_POSIX       0  write       18            2026              48      3.6411      3.6411
 X_POSIX       0  write       19            2074              23      3.6411      3.6411
 X_POSIX       0  write       20            2097              23      3.6411      3.6411
 X_POSIX       0  write       21            2120              23      3.6411      3.6411
 X_POSIX       0  write       22            2143              36      3.6411      3.6411
 X_POSIX       0  write       23            2179              17      3.6411      3.6411
 X_POSIX       0  write       24            2196              23      3.6411      3.6411
 X_POSIX       0  write       25            2219              39      3.6412      3.6412
 X_POSIX       0  write       26            2258              15      3.6412      3.6412
 X_POSIX       0  write       27            2273              21      3.6412      3.6412
 X_POSIX       0  write       28            2294              24      3.6412      3.6412
 X_POSIX       0  write       29            2318              37      3.6412      3.6412
 X_POSIX       0  write       30            2355              24      3.6412      3.6412
 X_POSIX       0  write       31            2379              25      3.6412      3.6412
 X_POSIX       0  write       32            2404              34      3.6412      3.6412

# DXT, file_id: 2831836278733676742, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/diag100000/WarpXHeader
# DXT, rank: 0, hostname: h34n01
# DXT, write_count: 1, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0             799      3.6416      3.6416

# DXT, file_id: 5897952558271018190, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/chk00000/WarpXHeader
# DXT, rank: 0, hostname: h34n01
# DXT, write_count: 1, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0             799      3.6464      3.6465

# DXT, file_id: 7472988904722960808, file_name: /gpfs/alpine/csc143/proj-shared/againaru/warpx/warpx/submit_summit/diags/chk00000/warpx_job_info
# DXT, rank: 0, hostname: h34n01
# DXT, write_count: 33, read_count: 0
# DXT, mnt_pt: /gpfs/alpine, fs_type: gpfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write        0               0            1526      3.6468      3.6470
 X_POSIX       0  write        1            1526              22      3.6470      3.6470
