# Time-averaged data for fix myat1
# TimeStep c_myTemp
1000 383.953
2000 362.739
3000 362.288
4000 364.776
5000 361.289
6000 362.201
7000 364.693
8000 363.464
9000 361.698
10000 362.334
11000 364.11
12000 363.062
13000 362.906
14000 363.722
15000 362.338
16000 363.185
17000 364.269
18000 362.34
19000 362.651
20000 363.614
21000 363.81
22000 363.247
23000 362.019
24000 363.428
25000 363.694
26000 362.942
27000 363.5
28000 363.561
29000 362.846
30000 362.851
31000 362.365
32000 363.845
33000 363.253
34000 362.511
35000 363.563
36000 363.547
37000 363.057
38000 363.151
39000 362.773
40000 363.156
41000 363.744
42000 362.695
43000 363.748
44000 362.994
45000 364.059
46000 363.219
47000 362.378
48000 363.636
49000 363.62
50000 363.258
51000 363.046
52000 363.617
53000 363.399
54000 362.399
55000 363.962
56000 363.169
57000 363.469
58000 361.766
59000 363.818
60000 363.456
61000 362.757
62000 362.87
63000 363.03
64000 362.758
65000 362.949
66000 363.224
67000 363.394
68000 363.756
69000 362.852
70000 363.163
71000 362.391
72000 362.848
73000 362.949
74000 363.167
75000 363.277
76000 362.745
77000 363.431
78000 363.784
79000 362.991
80000 363.103
81000 363.027
82000 362.885
83000 363.368
84000 362.918
85000 363.495
86000 363.338
87000 363.125
88000 363.369
89000 363.801
90000 362.387
91000 363.137
92000 362.757
93000 363.261
94000 363.452
95000 363.967
96000 362.658
97000 363.074
98000 362.737
99000 363.352
100000 363.582
101000 362.853
102000 363.055
103000 363.142
104000 362.426
105000 363.37
106000 363.171
107000 362.863
108000 363.388
109000 362.874
110000 363.021
