# Time-averaged data for fix myat1
# TimeStep v_L
5100 35.8623
5200 35.8623
5300 35.8623
5400 35.8623
5500 35.8623
5600 35.8623
5700 35.8623
5800 35.8623
5900 35.8623
6000 35.8623
6100 36.0623
6200 36.0623
6300 36.0623
6400 36.0623
6500 36.0623
6600 36.0623
6700 36.0623
6800 36.0623
6900 36.0623
7000 36.0623
7100 36.2623
7200 36.2623
7300 36.2623
7400 36.2623
7500 36.2623
7600 36.2623
7700 36.2623
7800 36.2623
7900 36.2623
8000 36.2623
8100 36.4623
8200 36.4623
8300 36.4623
8400 36.4623
8500 36.4623
8600 36.4623
8700 36.4623
8800 36.4623
8900 36.4623
9000 36.4623
9100 36.6623
9200 36.6623
9300 36.6623
9400 36.6623
9500 36.6623
9600 36.6623
9700 36.6623
9800 36.6623
9900 36.6623
10000 36.6623
10100 36.8623
10200 36.8623
10300 36.8623
10400 36.8623
10500 36.8623
10600 36.8623
10700 36.8623
10800 36.8623
10900 36.8623
11000 36.8623
11100 37.0623
11200 37.0623
11300 37.0623
11400 37.0623
11500 37.0623
11600 37.0623
11700 37.0623
11800 37.0623
11900 37.0623
12000 37.0623
12100 37.2623
12200 37.2623
12300 37.2623
12400 37.2623
12500 37.2623
12600 37.2623
12700 37.2623
12800 37.2623
12900 37.2623
13000 37.2623
13100 37.4623
13200 37.4623
13300 37.4623
13400 37.4623
13500 37.4623
13600 37.4623
13700 37.4623
13800 37.4623
13900 37.4623
14000 37.4623
14100 37.6623
14200 37.6623
14300 37.6623
14400 37.6623
14500 37.6623
14600 37.6623
14700 37.6623
14800 37.6623
14900 37.6623
15000 37.6623
15100 37.8623
15200 37.8623
15300 37.8623
15400 37.8623
15500 37.8623
15600 37.8623
15700 37.8623
15800 37.8623
15900 37.8623
16000 37.8623
16100 38.0623
16200 38.0623
16300 38.0623
16400 38.0623
16500 38.0623
16600 38.0623
16700 38.0623
16800 38.0623
16900 38.0623
17000 38.0623
17100 38.2623
17200 38.2623
17300 38.2623
17400 38.2623
17500 38.2623
17600 38.2623
17700 38.2623
17800 38.2623
17900 38.2623
18000 38.2623
18100 38.4623
18200 38.4623
18300 38.4623
18400 38.4623
18500 38.4623
18600 38.4623
18700 38.4623
18800 38.4623
18900 38.4623
19000 38.4623
19100 38.6623
19200 38.6623
19300 38.6623
19400 38.6623
19500 38.6623
19600 38.6623
19700 38.6623
19800 38.6623
19900 38.6623
20000 38.6623
20100 38.8623
20200 38.8623
20300 38.8623
20400 38.8623
20500 38.8623
20600 38.8623
20700 38.8623
20800 38.8623
20900 38.8623
21000 38.8623
21100 39.0623
21200 39.0623
21300 39.0623
21400 39.0623
21500 39.0623
21600 39.0623
21700 39.0623
21800 39.0623
21900 39.0623
22000 39.0623
22100 39.2623
22200 39.2623
22300 39.2623
22400 39.2623
22500 39.2623
22600 39.2623
22700 39.2623
22800 39.2623
22900 39.2623
23000 39.2623
23100 39.4623
23200 39.4623
23300 39.4623
23400 39.4623
23500 39.4623
23600 39.4623
23700 39.4623
23800 39.4623
23900 39.4623
24000 39.4623
24100 39.6623
24200 39.6623
24300 39.6623
24400 39.6623
24500 39.6623
24600 39.6623
24700 39.6623
24800 39.6623
24900 39.6623
25000 39.6623
25100 39.8623
25200 39.8623
25300 39.8623
25400 39.8623
25500 39.8623
25600 39.8623
25700 39.8623
25800 39.8623
25900 39.8623
26000 39.8623
26100 40.0623
26200 40.0623
26300 40.0623
26400 40.0623
26500 40.0623
26600 40.0623
26700 40.0623
26800 40.0623
26900 40.0623
27000 40.0623
27100 40.2623
27200 40.2623
27300 40.2623
27400 40.2623
27500 40.2623
27600 40.2623
27700 40.2623
27800 40.2623
27900 40.2623
28000 40.2623
28100 40.4623
28200 40.4623
28300 40.4623
28400 40.4623
28500 40.4623
28600 40.4623
28700 40.4623
28800 40.4623
28900 40.4623
29000 40.4623
29100 40.6623
29200 40.6623
29300 40.6623
29400 40.6623
29500 40.6623
29600 40.6623
29700 40.6623
29800 40.6623
29900 40.6623
30000 40.6623
30100 40.8623
30200 40.8623
30300 40.8623
30400 40.8623
30500 40.8623
30600 40.8623
30700 40.8623
30800 40.8623
30900 40.8623
31000 40.8623
31100 41.0623
31200 41.0623
31300 41.0623
31400 41.0623
31500 41.0623
31600 41.0623
31700 41.0623
31800 41.0623
31900 41.0623
32000 41.0623
32100 41.2623
32200 41.2623
32300 41.2623
32400 41.2623
32500 41.2623
32600 41.2623
32700 41.2623
32800 41.2623
32900 41.2623
33000 41.2623
33100 41.4623
33200 41.4623
33300 41.4623
33400 41.4623
33500 41.4623
33600 41.4623
33700 41.4623
33800 41.4623
33900 41.4623
34000 41.4623
34100 41.6623
34200 41.6623
34300 41.6623
34400 41.6623
34500 41.6623
34600 41.6623
34700 41.6623
34800 41.6623
34900 41.6623
35000 41.6623
35100 41.8623
35200 41.8623
35300 41.8623
35400 41.8623
35500 41.8623
35600 41.8623
35700 41.8623
35800 41.8623
35900 41.8623
36000 41.8623
36100 42.0623
36200 42.0623
36300 42.0623
36400 42.0623
36500 42.0623
36600 42.0623
36700 42.0623
36800 42.0623
36900 42.0623
37000 42.0623
37100 42.2623
37200 42.2623
37300 42.2623
37400 42.2623
37500 42.2623
37600 42.2623
37700 42.2623
37800 42.2623
37900 42.2623
38000 42.2623
38100 42.4623
38200 42.4623
38300 42.4623
38400 42.4623
38500 42.4623
38600 42.4623
38700 42.4623
38800 42.4623
38900 42.4623
39000 42.4623
39100 42.6623
39200 42.6623
39300 42.6623
39400 42.6623
39500 42.6623
39600 42.6623
39700 42.6623
39800 42.6623
39900 42.6623
40000 42.6623
40100 42.8623
40200 42.8623
40300 42.8623
40400 42.8623
40500 42.8623
40600 42.8623
40700 42.8623
40800 42.8623
40900 42.8623
41000 42.8623
41100 43.0623
41200 43.0623
41300 43.0623
41400 43.0623
41500 43.0623
41600 43.0623
41700 43.0623
41800 43.0623
41900 43.0623
42000 43.0623
42100 43.2623
42200 43.2623
42300 43.2623
42400 43.2623
42500 43.2623
42600 43.2623
42700 43.2623
42800 43.2623
42900 43.2623
43000 43.2623
43100 43.4623
43200 43.4623
43300 43.4623
43400 43.4623
43500 43.4623
43600 43.4623
43700 43.4623
43800 43.4623
43900 43.4623
44000 43.4623
44100 43.6623
44200 43.6623
44300 43.6623
44400 43.6623
44500 43.6623
44600 43.6623
44700 43.6623
44800 43.6623
44900 43.6623
45000 43.6623
45100 43.8623
45200 43.8623
45300 43.8623
45400 43.8623
45500 43.8623
45600 43.8623
45700 43.8623
45800 43.8623
45900 43.8623
46000 43.8623
46100 44.0623
46200 44.0623
46300 44.0623
46400 44.0623
46500 44.0623
46600 44.0623
46700 44.0623
46800 44.0623
46900 44.0623
47000 44.0623
47100 44.2623
47200 44.2623
47300 44.2623
47400 44.2623
47500 44.2623
47600 44.2623
47700 44.2623
47800 44.2623
47900 44.2623
48000 44.2623
48100 44.4623
48200 44.4623
48300 44.4623
48400 44.4623
48500 44.4623
48600 44.4623
48700 44.4623
48800 44.4623
48900 44.4623
49000 44.4623
49100 44.6623
49200 44.6623
49300 44.6623
49400 44.6623
49500 44.6623
49600 44.6623
49700 44.6623
49800 44.6623
49900 44.6623
50000 44.6623
50100 44.8623
50200 44.8623
50300 44.8623
50400 44.8623
50500 44.8623
50600 44.8623
50700 44.8623
