# darshan log version: 3.21
# compression method: ZLIB
# exe: ./simple todel
# uid: 1000
# jobid: 16574
# start_time: 1602864698
# start_time_asci: Fri Oct 16 12:11:38 2020
# end_time: 1602864698
# end_time_asci: Fri Oct 16 12:11:38 2020
# nprocs: 4
# run time: 1
# metadata: lib_ver = 3.2.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 228 bytes (compressed)
# record table: 124 bytes (compressed)
# POSIX module: 148 bytes (compressed), ver=4
# MPI-IO module: 127 bytes (compressed), ver=3
# STDIO module: 129 bytes (compressed), ver=2

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/run/user/1000/gvfs	fuse.gvfsd-fuse
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/boot/efi	vfat
# mount entry:	/dev	devtmpfs
# mount entry:	/	ext4

# description of columns:
#   <module>: module responsible for this I/O record.
#   <rank>: MPI rank.  -1 indicates that the file is shared
#      across all processes and statistics are aggregated.
#   <record id>: hash of the record's file path
#   <counter name> and <counter value>: statistical counters.
#      A value of -1 indicates that Darshan could not monitor
#      that counter, and its value should be ignored.
#   <file name>: full file path for the record.
#   <mount pt>: mount point that the file resides on.
#   <fs type>: type of file system that the file resides on.

# *******************************************************
# POSIX module data
# *******************************************************

# description of POSIX counters:
#   POSIX_*: posix operation counts.
#   READS,WRITES,OPENS,SEEKS,STATS,MMAPS,SYNCS,FILENOS,DUPS are types of operations.
#   POSIX_RENAME_SOURCES/TARGETS: total count file was source or target of a rename operation
#   POSIX_RENAMED_FROM: Darshan record ID of the first rename source, if file was a rename target
#   POSIX_MODE: mode that file was opened in.
#   POSIX_BYTES_*: total bytes read and written.
#   POSIX_MAX_BYTE_*: highest offset byte read and written.
#   POSIX_CONSEC_*: number of exactly adjacent reads and writes.
#   POSIX_SEQ_*: number of reads and writes from increasing offsets.
#   POSIX_RW_SWITCHES: number of times access alternated between read and write.
#   POSIX_*_ALIGNMENT: memory and file alignment.
#   POSIX_*_NOT_ALIGNED: number of reads and writes that were not aligned.
#   POSIX_MAX_*_TIME_SIZE: size of the slowest read and write operations.
#   POSIX_SIZE_*_*: histogram of read and write access sizes.
#   POSIX_STRIDE*_STRIDE: the four most common strides detected.
#   POSIX_STRIDE*_COUNT: count of the four most common strides.
#   POSIX_ACCESS*_ACCESS: the four most common access sizes.
#   POSIX_ACCESS*_COUNT: count of the four most common access sizes.
#   POSIX_*_RANK: rank of the processes that were the fastest and slowest at I/O (for shared files).
#   POSIX_*_RANK_BYTES: bytes transferred by the fastest and slowest ranks (for shared files).
#   POSIX_F_*_START_TIMESTAMP: timestamp of first open/read/write/close.
#   POSIX_F_*_END_TIMESTAMP: timestamp of last open/read/write/close.
#   POSIX_F_READ/WRITE/META_TIME: cumulative time spent in read, write, or metadata operations.
#   POSIX_F_MAX_*_TIME: duration of the slowest read and write operations.
#   POSIX_F_*_RANK_TIME: fastest and slowest I/O time for a single rank (for shared files).
#   POSIX_F_VARIANCE_RANK_*: variance of total I/O time and bytes moved for all ranks (for shared files).

# WARNING: POSIX_OPENS counter includes both POSIX_FILENOS and POSIX_DUPS counts

# WARNING: POSIX counters related to file offsets may be incorrect if a file is simultaneously accessed by both POSIX and STDIO (e.g., using fileno())
# 	- Affected counters include: MAX_BYTE_{READ|WRITTEN}, CONSEC_{READS|WRITES}, SEQ_{READS|WRITES}, {MEM|FILE}_NOT_ALIGNED, STRIDE*_STRIDE

#<module>	<rank>	<record id>	<counter>	<value>	<file name>	<mount pt>	<fs type>
POSIX	-1	3072702899745546974	POSIX_OPENS	5	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_FILENOS	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_DUPS	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_READS	4	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_WRITES	4	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_SEEKS	15	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_STATS	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_MMAPS	-1	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_FSYNCS	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_FDSYNCS	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_RENAME_SOURCES	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_RENAME_TARGETS	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_RENAMED_FROM	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_MODE	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_BYTES_READ	1600	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_BYTES_WRITTEN	1600	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_MAX_BYTE_READ	1599	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_MAX_BYTE_WRITTEN	1599	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_CONSEC_READS	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_CONSEC_WRITES	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_SEQ_READS	3	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_SEQ_WRITES	3	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_RW_SWITCHES	4	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_MEM_NOT_ALIGNED	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_MEM_ALIGNMENT	8	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_FILE_NOT_ALIGNED	6	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_FILE_ALIGNMENT	4096	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_MAX_READ_TIME_SIZE	400	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_MAX_WRITE_TIME_SIZE	400	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_SIZE_READ_0_100	0	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
POSIX	-1	3072702899745546974	POSIX_SIZE_READ_100_1K	4	/home/anagainaru/work/darshan/benchmark/todel	/	ext4
