# darshan log version: 3.21
# compression method: ZLIB
# exe: /gpfs/alpine/csc143/proj-shared/againaru/lammps/build_andes/lmp -in ./input.lammps
# uid: 16326
# jobid: 2166757
# start_time: 1636313177
# start_time_asci: Sun Nov  7 14:26:17 2021
# end_time: 1636314409
# end_time_asci: Sun Nov  7 14:46:49 2021
# nprocs: 10
# run time: 1233
# metadata: lib_ver = 3.2.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 404 bytes (compressed)
# record table: 213 bytes (compressed)
# STDIO module: 1152 bytes (compressed), ver=2

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/autofs/nccs-svm1_compilers	autofs
# mount entry:	/autofs/nccs-svm1_compilers	nfs
# mount entry:	/autofs/nccs-svm1_packages	nfs
# mount entry:	/autofs/nccs-svm1_packages	autofs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/autofs/nccs-svm1_keytabs	autofs
# mount entry:	/autofs/nccs-svm1_techint	autofs
# mount entry:	/autofs/nccs-svm1_keytabs	nfs
# mount entry:	/autofs/nccs-svm1_techint	nfs
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/autofs/nccs-svm1_home1	nfs
# mount entry:	/autofs/nccs-svm1_home2	autofs
# mount entry:	/autofs/nccs-svm1_home1	autofs
# mount entry:	/autofs/nccs-svm1_home2	nfs
# mount entry:	/autofs/nccs-svm1_home	nfs
# mount entry:	/autofs/nccs-svm1_home	autofs
# mount entry:	/autofs/nccs-svm1_proj	nfs
# mount entry:	/autofs/nccs-svm1_prod	autofs
# mount entry:	/autofs/nccs-svm1_prod	nfs
# mount entry:	/autofs/nccs-svm1_proj	autofs
# mount entry:	/autofs/nccs-svm1_usw	nfs
# mount entry:	/autofs/nccs-svm1_sys	nfs
# mount entry:	/autofs/nccs-svm1_usw	autofs
# mount entry:	/autofs/nccs-svm1_sys	autofs
# mount entry:	/autofs/nccs-svm1_sw	nfs
# mount entry:	/autofs/nccs-svm1_sw	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/ccs/wwwusers	autofs
# mount entry:	/gpfs/alpine	gpfs
# mount entry:	/ccs/wwwproj	autofs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/root	nfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# *******************************************************
# STDIO module data
# *******************************************************

# Per-file summary of I/O activity.
# -----
# <record_id>: darshan record id for this file
# <file_name>: full file name
# <nprocs>: number of processes that opened the file
# <slowest>: (estimated) time in seconds consumed in IO by slowest process
# <avg>: average time in seconds consumed in IO per process

# <record_id>	<file_name>	<nprocs>	<slowest>	<avg>
15920181672442173319	<STDOUT>	1	0.000078	0.000078
16322408297872255652	/gpfs/alpine/csc143/proj-shared/againaru/lammps/input-WaterGraphene/darshan/log.lammps	1	0.003475	0.003475
7026721807828177746	/gpfs/alpine/csc143/proj-shared/againaru/lammps/input-WaterGraphene/darshan/input.lammps	1	0.012405	0.012405
7502756315724189539	/gpfs/alpine/csc143/proj-shared/againaru/lammps/input-WaterGraphene/darshan/data.lammps	10	0.050437	0.008984
12557012440145597561	/gpfs/alpine/csc143/proj-shared/againaru/lammps/input-WaterGraphene/darshan/PARM.lammps	1	0.003353	0.003353
311609093369530896	/gpfs/alpine/csc143/proj-shared/againaru/lammps/input-WaterGraphene/darshan/dump.lammpstrj	1	0.091118	0.091118
# darshan log version: 3.21
# compression method: ZLIB
# exe: /gpfs/alpine/csc143/proj-shared/againaru/lammps/build_andes/lmp -in ./input.lammps
# uid: 16326
# jobid: 2166757
# start_time: 1636313177
# start_time_asci: Sun Nov  7 14:26:17 2021
# end_time: 1636314409
# end_time_asci: Sun Nov  7 14:46:49 2021
# nprocs: 10
# run time: 1233
# metadata: lib_ver = 3.2.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 404 bytes (compressed)
# record table: 213 bytes (compressed)
# STDIO module: 1152 bytes (compressed), ver=2

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/autofs/nccs-svm1_compilers	autofs
# mount entry:	/autofs/nccs-svm1_compilers	nfs
# mount entry:	/autofs/nccs-svm1_packages	nfs
# mount entry:	/autofs/nccs-svm1_packages	autofs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/autofs/nccs-svm1_keytabs	autofs
# mount entry:	/autofs/nccs-svm1_techint	autofs
# mount entry:	/autofs/nccs-svm1_keytabs	nfs
# mount entry:	/autofs/nccs-svm1_techint	nfs
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/autofs/nccs-svm1_home1	nfs
# mount entry:	/autofs/nccs-svm1_home2	autofs
# mount entry:	/autofs/nccs-svm1_home1	autofs
# mount entry:	/autofs/nccs-svm1_home2	nfs
# mount entry:	/autofs/nccs-svm1_home	nfs
# mount entry:	/autofs/nccs-svm1_home	autofs
# mount entry:	/autofs/nccs-svm1_proj	nfs
# mount entry:	/autofs/nccs-svm1_prod	autofs
# mount entry:	/autofs/nccs-svm1_prod	nfs
# mount entry:	/autofs/nccs-svm1_proj	autofs
# mount entry:	/autofs/nccs-svm1_usw	nfs
# mount entry:	/autofs/nccs-svm1_sys	nfs
# mount entry:	/autofs/nccs-svm1_usw	autofs
# mount entry:	/autofs/nccs-svm1_sys	autofs
# mount entry:	/autofs/nccs-svm1_sw	nfs
# mount entry:	/autofs/nccs-svm1_sw	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
